id,first_name,last_name,email,country,ip_address,resident,dnaProfile.pedigree.dqPoints
33,Craig,Howell,chowellw@dailymail.co.uk,Colombia,186.27.161.115,TRUE,0
34,Rebecca,George,rgeorgex@answers.com,Netherlands,240.169.190.245,TRUE,0
35,John,Moore,jmoorey@ovh.net,China,67.64.241.123,FALSE,0
36,Denise,Nelson,dnelsonz@youku.com,China,42.115.160.229,TRUE,0
37,Ann,Rogers,arogers10@ycombinator.com,China,74.222.51.240,FALSE,0
38,Melissa,West,mwest11@flavors.me,Montserrat,204.82.37.97,FALSE,0
39,Philip,Powell,ppowell12@seattletimes.com,Chile,236.191.188.6,TRUE,0
40,Karen,Campbell,kcampbell13@multiply.com,Poland,238.35.122.91,FALSE,0
41,Judy,Butler,jbutler14@chron.com,Indonesia,172.69.45.241,TRUE,0
42,Clarence,Garrett,cgarrett15@google.ca,Japan,134.248.133.50,FALSE,0
43,Angela,Jordan,ajordan16@icio.us,Sweden,191.148.43.113,TRUE,0
44,Pamela,Ford,pford17@columbia.edu,Russia,9.155.240.143,TRUE,0
45,Ernest,West,ewest18@ezinearticles.com,China,48.165.106.192,TRUE,0
46,Arthur,Hanson,ahanson19@cafepress.com,Nigeria,70.134.106.176,TRUE,0
47,Harold,Morgan,hmorgan1a@topsy.com,Colombia,244.168.113.52,TRUE,0
48,Ernest,Reyes,ereyes1b@youtu.be,Philippines,237.121.76.40,TRUE,0
49,Harold,Kelley,hkelley1c@etsy.com,Greece,138.130.20.43,FALSE,0
50,Christopher,Banks,cbanks1d@rambler.ru,Czech Republic,66.61.204.173,TRUE,0
51,Russell,Burton,rburton1e@cnbc.com,United States,139.91.33.173,TRUE,0
52,James,Brooks,jbrooks1f@freewebs.com,Kazakhstan,183.255.160.195,FALSE,0
53,Tammy,Williamson,twilliamson1g@usgs.gov,China,37.70.76.81,TRUE,0
54,Rachel,Warren,rwarren1h@hp.com,Portugal,170.86.68.57,FALSE,0
55,Kimberly,Hill,khill1i@rambler.ru,United Kingdom,26.37.124.67,FALSE,0
56,Amy,Gordon,agordon1j@infoseek.co.jp,China,142.16.230.89,FALSE,0
57,Howard,Rivera,hrivera1k@abc.net.au,Bahamas,117.210.130.0,TRUE,0
58,Linda,Wallace,lwallace1l@trellian.com,Nicaragua,96.9.38.111,TRUE,0
59,Debra,Long,dlong1m@cisco.com,China,250.105.31.101,FALSE,0
60,Adam,Hernandez,ahernandez1n@netlog.com,New Zealand,100.22.115.33,FALSE,0
61,Evelyn,Evans,eevans1o@ow.ly,Russia,206.7.201.136,TRUE,0
62,Aaron,Garrett,agarrett1p@senate.gov,Nepal,105.201.251.183,TRUE,0
63,Angela,Gardner,agardner1q@comcast.net,Philippines,31.9.10.66,TRUE,0
64,Jean,Cole,jcole1r@discovery.com,China,74.173.226.114,TRUE,0
65,Harry,Dixon,hdixon1s@jugem.jp,Ethiopia,71.155.234.119,TRUE,0
66,Theresa,Ray,tray1t@wikia.com,Brazil,177.116.10.232,TRUE,0
67,Bruce,Reynolds,breynolds1u@liveinternet.ru,Indonesia,132.223.10.214,TRUE,0
68,Martha,Hudson,mhudson1v@cloudflare.com,Peru,195.255.236.114,TRUE,0
69,Victor,Dunn,vdunn1w@weebly.com,Western Sahara,147.57.182.76,TRUE,0
70,Jeffrey,Boyd,jboyd1x@amazon.de,Indonesia,40.12.122.32,FALSE,0
71,Carlos,Duncan,cduncan1y@friendfeed.com,Poland,241.251.127.253,FALSE,0
72,Jeffrey,Alexander,jalexander1z@discovery.com,Brazil,119.164.238.2,FALSE,0
73,Victor,Burke,vburke20@dagondesign.com,China,86.20.53.143,FALSE,0
74,Margaret,Lawrence,mlawrence21@woothemes.com,Russia,99.10.19.198,TRUE,0
75,Ronald,Price,rprice22@marriott.com,Albania,235.32.209.243,FALSE,0
76,Billy,Fernandez,bfernandez23@sciencedirect.com,Sri Lanka,29.172.90.107,TRUE,0
77,Evelyn,Edwards,eedwards24@fastcompany.com,Comoros,95.6.74.85,TRUE,0
78,Louis,Watkins,lwatkins25@ibm.com,China,127.251.245.146,TRUE,0
79,Michelle,Richardson,mrichardson26@globo.com,Argentina,179.59.255.194,FALSE,0
80,Ashley,Rivera,arivera27@dmoz.org,Indonesia,140.108.187.69,FALSE,0
81,Virginia,Dunn,vdunn28@illinois.edu,Honduras,204.219.211.81,FALSE,0
82,Ryan,Diaz,rdiaz29@i2i.jp,Russia,224.190.187.65,FALSE,0
83,Louise,Jordan,ljordan2a@bandcamp.com,United States,104.13.78.228,TRUE,0
84,Richard,Johnston,rjohnston2b@behance.net,Tajikistan,181.205.253.178,TRUE,0
85,Julie,Bennett,jbennett2c@nymag.com,Mongolia,236.135.115.164,TRUE,0
86,Lillian,Martinez,lmartinez2d@yale.edu,China,26.69.26.111,FALSE,0
87,Margaret,Frazier,mfrazier2e@ted.com,France,240.159.180.34,TRUE,0
88,William,Anderson,wanderson2f@timesonline.co.uk,Ireland,59.204.132.170,TRUE,0
89,Lori,Hunt,lhunt2g@techcrunch.com,Norway,210.97.163.24,TRUE,0
90,Karen,Mitchell,kmitchell2h@engadget.com,China,60.96.225.221,TRUE,0
91,Adam,Frazier,afrazier2i@economist.com,Greece,150.202.35.187,TRUE,0
92,Samuel,Pierce,spierce2j@biblegateway.com,Portugal,202.21.182.78,TRUE,0
93,Ryan,Mendoza,rmendoza2k@un.org,Nigeria,66.146.107.24,TRUE,0
94,Billy,Harrison,bharrison2l@theglobeandmail.com,China,120.63.33.110,TRUE,0
95,Aaron,Boyd,aboyd2m@europa.eu,Lithuania,2.114.91.235,TRUE,0
96,Kathryn,Harvey,kharvey2n@constantcontact.com,Chad,199.170.30.252,TRUE,0
97,Catherine,Murray,cmurray2o@google.com.br,Thailand,250.31.237.96,FALSE,0
98,Anthony,George,ageorge2p@vistaprint.com,Thailand,34.16.13.22,FALSE,0
99,Todd,Cunningham,tcunningham2q@altervista.org,China,251.73.24.165,TRUE,0
100,Melissa,Gilbert,mgilbert2r@army.mil,Canada,74.216.221.60,FALSE,0
101,Joyce,Grant,jgrant2s@berkeley.edu,China,235.107.195.101,TRUE,0
102,Willie,Gutierrez,wgutierrez2t@ifeng.com,Guatemala,30.65.251.196,FALSE,0
103,Ruby,Riley,rriley2u@latimes.com,China,23.151.8.237,TRUE,0
104,Terry,Rose,trose2v@forbes.com,China,253.248.45.155,FALSE,0
105,Phyllis,Chavez,pchavez2w@jugem.jp,Hungary,248.218.226.37,TRUE,0
106,Jennifer,Elliott,jelliott2x@loc.gov,China,233.99.190.74,FALSE,0
107,Kimberly,Reid,kreid2y@wikimedia.org,Croatia,125.30.175.119,TRUE,0
108,Todd,Clark,tclark2z@java.com,China,32.172.87.152,TRUE,0
109,Jason,Powell,jpowell30@symantec.com,Yemen,38.131.81.181,FALSE,0
110,Fred,Owens,fowens31@virginia.edu,China,157.82.62.51,TRUE,0
111,Nicholas,Roberts,nroberts32@boston.com,Indonesia,243.234.41.230,FALSE,0
112,Paul,Reynolds,preynolds33@earthlink.net,Portugal,253.220.53.160,FALSE,0
113,Heather,Ortiz,hortiz34@yellowbook.com,China,82.251.194.98,FALSE,0
114,Patricia,Murphy,pmurphy35@tumblr.com,Indonesia,50.199.239.106,FALSE,0
115,Barbara,Ford,bford36@lulu.com,Portugal,216.180.197.242,FALSE,0
116,Joshua,Dean,jdean37@indiatimes.com,Jamaica,209.109.47.49,TRUE,0
117,Paul,Nichols,pnichols38@buzzfeed.com,France,175.254.157.94,FALSE,0
118,Howard,Henderson,hhenderson39@ustream.tv,Thailand,18.169.189.84,TRUE,0
119,Russell,Simmons,rsimmons3a@webmd.com,Ecuador,154.58.103.231,TRUE,0
120,Philip,Williams,pwilliams3b@hhs.gov,France,131.177.52.191,FALSE,0
121,Laura,Fisher,lfisher3c@amazon.com,Mexico,198.177.238.1,TRUE,0
122,Victor,Banks,vbanks3d@netscape.com,Indonesia,218.47.130.7,FALSE,0
123,Amy,Elliott,aelliott3e@cnet.com,Sweden,94.238.222.224,FALSE,0
124,Irene,Castillo,icastillo3f@webeden.co.uk,Russia,82.54.99.49,FALSE,0
125,Ronald,Richardson,rrichardson3g@youtube.com,China,161.249.108.38,TRUE,0
126,Philip,Flores,pflores3h@blogger.com,Peru,83.6.150.118,TRUE,0
127,Elizabeth,Lane,elane3i@microsoft.com,Bolivia,164.21.191.145,TRUE,0
128,Jacqueline,Morgan,jmorgan3j@bbb.org,Philippines,93.242.26.170,TRUE,0
129,Terry,Williamson,twilliamson3k@webs.com,China,251.2.155.146,TRUE,0
130,Jeffrey,Sanchez,jsanchez3l@nyu.edu,Germany,190.189.79.196,TRUE,0
131,David,Reed,dreed3m@123-reg.co.uk,China,185.20.26.234,FALSE,0
132,Joyce,Olson,jolson3n@spotify.com,Colombia,61.246.218.11,FALSE,0
133,Cynthia,Rivera,crivera3o@netlog.com,Indonesia,16.32.214.235,FALSE,0
134,Paula,Frazier,pfrazier3p@twitpic.com,Poland,228.99.145.121,FALSE,0
135,Robert,Myers,rmyers3q@storify.com,France,201.44.164.202,TRUE,0
136,Willie,Ellis,wellis3r@ask.com,Brazil,235.139.104.2,TRUE,0
137,Barbara,Price,bprice3s@nyu.edu,Indonesia,162.61.99.162,FALSE,0
138,Aaron,Dean,adean3t@canalblog.com,China,252.152.222.136,TRUE,0
139,Christopher,Brooks,cbrooks3u@pagesperso-orange.fr,Poland,24.78.105.81,TRUE,0
140,Jean,Stone,jstone3v@google.ca,Poland,167.100.225.43,FALSE,0
141,Jesse,Snyder,jsnyder3w@examiner.com,Jordan,112.64.82.171,TRUE,0
142,Arthur,Chapman,achapman3x@army.mil,Latvia,102.237.139.240,TRUE,0
143,Louis,Williams,lwilliams3y@amazon.co.uk,Thailand,16.166.2.209,TRUE,0
144,Bonnie,Hicks,bhicks3z@ustream.tv,United States,118.236.248.176,FALSE,0
145,Helen,Jacobs,hjacobs40@usatoday.com,France,90.157.53.129,FALSE,0
146,Sharon,Vasquez,svasquez41@angelfire.com,China,130.249.144.38,TRUE,0
147,Mildred,Nichols,mnichols42@chicagotribune.com,Cuba,174.27.38.50,FALSE,0
148,Doris,Jacobs,djacobs43@elpais.com,Brazil,121.62.83.80,TRUE,0
149,Antonio,Flores,aflores44@odnoklassniki.ru,Philippines,55.105.168.188,TRUE,0
150,Edward,Hart,ehart45@tamu.edu,China,240.122.245.106,FALSE,0
151,Philip,Robinson,probinson46@bizjournals.com,Indonesia,113.198.200.207,FALSE,0
152,Michael,Elliott,melliott47@upenn.edu,Indonesia,114.165.200.87,FALSE,0
153,Lillian,Castillo,lcastillo48@barnesandnoble.com,Honduras,123.57.123.16,TRUE,0
154,Anne,Hicks,ahicks49@harvard.edu,China,50.27.156.98,TRUE,0
155,John,Ryan,jryan4a@networksolutions.com,China,141.45.28.159,TRUE,0
156,Louis,Willis,lwillis4b@zimbio.com,Tunisia,100.105.135.242,TRUE,0
157,Randy,Morris,rmorris4c@themeforest.net,Brazil,217.226.147.235,FALSE,0
158,Clarence,Evans,cevans4d@scientificamerican.com,Philippines,161.211.4.79,FALSE,0
159,Todd,Black,tblack4e@squidoo.com,Portugal,224.15.110.95,TRUE,0
160,Nicole,Greene,ngreene4f@fc2.com,Brazil,56.8.114.143,TRUE,0
161,Doris,Hernandez,dhernandez4g@themeforest.net,Palestinian Territory,189.182.20.61,TRUE,0
162,Helen,Jackson,hjackson4h@acquirethisname.com,Indonesia,93.105.80.247,FALSE,0
163,Richard,Little,rlittle4i@moonfruit.com,Portugal,180.213.48.197,TRUE,0
164,Joseph,Peterson,jpeterson4j@reverbnation.com,Philippines,48.172.114.105,FALSE,0
165,Brenda,Fowler,bfowler4k@elegantthemes.com,China,33.55.73.19,TRUE,0
166,Jose,Frazier,jfrazier4l@elpais.com,Nigeria,26.86.34.191,TRUE,0
167,Gloria,Davis,gdavis4m@oracle.com,Poland,81.103.80.228,TRUE,0
168,Phillip,Armstrong,parmstrong4n@tamu.edu,Kazakhstan,249.112.28.87,TRUE,0
169,Stephen,Marshall,smarshall4o@pen.io,France,137.49.152.187,TRUE,0
170,Rachel,Diaz,rdiaz4p@zdnet.com,Indonesia,3.183.52.248,TRUE,0
171,Wayne,Stone,wstone4q@youtube.com,Guatemala,195.75.189.202,TRUE,0
172,Gerald,Tucker,gtucker4r@ehow.com,Cambodia,56.192.42.227,TRUE,0
173,Carol,Nichols,cnichols4s@issuu.com,United States,216.170.37.190,FALSE,0
174,Bobby,Butler,bbutler4t@marketwatch.com,Indonesia,252.106.250.108,FALSE,0
175,Gary,Gonzalez,ggonzalez4u@china.com.cn,China,233.173.133.57,TRUE,0
176,Bobby,Richardson,brichardson4v@yolasite.com,Colombia,53.236.67.215,FALSE,0
177,Judy,Gilbert,jgilbert4w@ucoz.com,China,125.101.253.235,FALSE,0
178,Sarah,Romero,sromero4x@dailymail.co.uk,Thailand,254.224.90.125,FALSE,0
179,Michelle,Ellis,mellis4y@prnewswire.com,Sweden,237.11.39.132,TRUE,0
180,Pamela,Arnold,parnold4z@usgs.gov,Philippines,114.56.169.217,TRUE,0
181,Kevin,Hawkins,khawkins50@amazon.com,Indonesia,83.221.157.21,TRUE,0
182,Carl,Gibson,cgibson51@tinyurl.com,Angola,71.197.148.247,TRUE,0
183,Kathryn,Ryan,kryan52@hatena.ne.jp,Nicaragua,212.47.22.252,FALSE,0
184,Joe,Hicks,jhicks53@booking.com,Canada,81.11.47.251,TRUE,0
185,Jennifer,Reyes,jreyes54@soup.io,Sweden,159.64.113.181,FALSE,0
186,Aaron,Murray,amurray55@go.com,China,151.144.109.255,FALSE,0
187,Eugene,Hudson,ehudson56@columbia.edu,Serbia,97.136.169.234,TRUE,0
188,Craig,Harris,charris57@sohu.com,Trinidad and Tobago,188.95.234.227,FALSE,0
189,Kelly,Hart,khart58@dmoz.org,Nigeria,126.183.18.120,TRUE,0
190,Katherine,Turner,kturner59@wordpress.com,Indonesia,140.15.199.218,TRUE,0
191,Helen,Roberts,hroberts5a@fotki.com,Indonesia,156.26.198.18,FALSE,0
192,Douglas,Marshall,dmarshall5b@vk.com,Philippines,43.141.174.101,FALSE,0
193,Robert,Reyes,rreyes5c@hhs.gov,Botswana,183.52.53.25,TRUE,0
194,Fred,Simmons,fsimmons5d@instagram.com,Sweden,168.124.123.231,TRUE,0
195,Patricia,Jones,pjones5e@feedburner.com,Kenya,201.208.8.15,FALSE,0
196,Debra,Schmidt,dschmidt5f@bizjournals.com,France,42.61.85.82,FALSE,0
197,Debra,Ferguson,dferguson5g@joomla.org,South Africa,198.229.41.118,TRUE,0
198,Cheryl,Mills,cmills5h@census.gov,France,145.3.17.228,TRUE,0
199,Joyce,Kennedy,jkennedy5i@storify.com,Tunisia,191.123.167.75,TRUE,0
200,Samuel,Murray,smurray5j@storify.com,Indonesia,111.52.196.200,FALSE,0
201,Diane,Hayes,dhayes5k@simplemachines.org,Russia,133.56.73.206,FALSE,0
202,Sean,Young,syoung5l@mediafire.com,China,150.4.110.68,FALSE,0
203,William,Collins,wcollins5m@webnode.com,Sudan,213.217.6.168,TRUE,0
204,Ryan,Reynolds,rreynolds5n@china.com.cn,Armenia,165.24.87.25,FALSE,0
205,Stephen,Cox,scox5o@naver.com,Armenia,41.227.222.135,FALSE,0
206,Lisa,Stephens,lstephens5p@about.com,Brazil,67.105.113.38,FALSE,0
207,Albert,Mitchell,amitchell5q@google.fr,Philippines,201.142.140.188,FALSE,0
208,Maria,Boyd,mboyd5r@ifeng.com,Philippines,121.108.40.21,FALSE,0
209,Jerry,Mitchell,jmitchell5s@fastcompany.com,Czech Republic,196.5.220.84,FALSE,0
210,Tina,Moore,tmoore5t@un.org,Bosnia and Herzegovina,73.28.84.76,TRUE,0
211,Evelyn,Gutierrez,egutierrez5u@flavors.me,Morocco,131.22.124.217,FALSE,0
212,Kathleen,Johnston,kjohnston5v@psu.edu,Finland,119.203.146.9,FALSE,0
213,Matthew,Griffin,mgriffin5w@hhs.gov,Indonesia,224.158.253.205,FALSE,0
214,Betty,Lopez,blopez5x@phpbb.com,Uganda,176.60.114.149,FALSE,0
215,Jessica,Howell,jhowell5y@qq.com,China,96.187.138.110,TRUE,0
216,Ruby,Lawrence,rlawrence5z@guardian.co.uk,Cuba,17.144.71.51,FALSE,0
217,Laura,Harvey,lharvey60@i2i.jp,Sweden,113.248.6.74,FALSE,0
218,Juan,Jackson,jjackson61@arizona.edu,China,159.226.170.194,FALSE,0
219,Andrew,Myers,amyers62@businessweek.com,Poland,65.80.23.184,TRUE,0
220,Sean,Anderson,sanderson63@barnesandnoble.com,Sweden,92.204.234.118,TRUE,0
221,Diane,Stevens,dstevens64@dyndns.org,Indonesia,197.215.31.126,FALSE,0
222,Ryan,Rogers,rrogers65@usa.gov,Indonesia,168.83.16.116,TRUE,0
223,Jessica,Meyer,jmeyer66@google.nl,Nicaragua,101.237.62.85,FALSE,0
224,Kelly,Clark,kclark67@cisco.com,Brazil,191.48.193.161,TRUE,0
225,Melissa,Alexander,malexander68@xinhuanet.com,Indonesia,205.63.128.219,FALSE,0
226,Jimmy,Hicks,jhicks69@godaddy.com,Russia,150.41.23.60,FALSE,0
227,Anne,Holmes,aholmes6a@pcworld.com,China,201.23.219.139,TRUE,0
228,Joe,Washington,jwashington6b@about.com,Poland,168.69.15.240,FALSE,0
229,Marilyn,Jacobs,mjacobs6c@zimbio.com,Indonesia,185.116.199.2,FALSE,0
230,Maria,Kim,mkim6d@opera.com,Honduras,106.209.226.197,FALSE,0
231,Melissa,Marshall,mmarshall6e@zimbio.com,China,40.121.213.94,TRUE,0
232,Carlos,Carpenter,ccarpenter6f@domainmarket.com,Venezuela,206.172.18.236,FALSE,0
233,Ruth,Howell,rhowell6g@sohu.com,China,236.149.77.6,TRUE,0
234,Debra,Mitchell,dmitchell6h@comsenz.com,Albania,17.68.191.62,FALSE,0
235,Mark,Fuller,mfuller6i@state.gov,United States,135.247.176.79,TRUE,0
236,Maria,Morris,mmorris6j@cbslocal.com,Netherlands,41.127.163.0,TRUE,0
237,Phyllis,Owens,powens6k@oakley.com,China,136.164.188.19,FALSE,0
238,Kathleen,Hayes,khayes6l@i2i.jp,Bolivia,91.149.89.237,TRUE,0
239,Louis,Simmons,lsimmons6m@chronoengine.com,Mexico,141.44.145.96,FALSE,0
240,Brandon,Rogers,brogers6n@spiegel.de,Indonesia,96.183.213.201,TRUE,0
241,Ryan,Lawson,rlawson6o@github.com,China,137.32.245.34,FALSE,0
242,Robert,Coleman,rcoleman6p@posterous.com,Portugal,154.12.159.115,FALSE,0
243,Robert,Kim,rkim6q@blogger.com,Poland,70.200.50.134,FALSE,0
244,Lawrence,Reynolds,lreynolds6r@nih.gov,Mexico,97.182.71.140,TRUE,0
245,Edward,Rogers,erogers6s@vk.com,China,44.216.52.113,TRUE,0
246,Joyce,Berry,jberry6t@geocities.jp,Russia,162.94.182.213,TRUE,0
247,Andrea,Cruz,acruz6u@marketwatch.com,Japan,245.35.173.151,TRUE,0
248,Robert,Holmes,rholmes6v@prnewswire.com,Mexico,192.66.8.102,TRUE,0
249,Carol,Peters,cpeters6w@cyberchimps.com,Malawi,137.239.227.216,FALSE,0
250,Lori,Roberts,lroberts6x@example.com,Pakistan,107.8.243.225,FALSE,0
251,Aaron,Dunn,adunn6y@so-net.ne.jp,Honduras,134.132.231.161,TRUE,0
252,Raymond,Lynch,rlynch6z@ftc.gov,Vietnam,58.247.190.141,TRUE,0
253,Carl,Murphy,cmurphy70@illinois.edu,China,79.212.43.49,TRUE,0
254,Carolyn,Ellis,cellis71@scientificamerican.com,Kazakhstan,161.11.96.236,TRUE,0
255,Carolyn,Sims,csims72@huffingtonpost.com,China,223.229.169.197,FALSE,0
256,Wayne,Gilbert,wgilbert73@hc360.com,Indonesia,242.79.225.229,TRUE,0
257,Julia,Scott,jscott74@typepad.com,Indonesia,122.251.156.222,TRUE,0
258,Jane,Warren,jwarren75@sphinn.com,Sweden,238.82.239.102,TRUE,0
259,Judy,Peterson,jpeterson76@prnewswire.com,Poland,219.108.220.178,TRUE,0
260,Ronald,Schmidt,rschmidt77@chron.com,Poland,202.166.121.65,FALSE,0
261,Theresa,Martin,tmartin78@etsy.com,Brazil,163.35.35.152,TRUE,0
262,Rose,Richards,rrichards79@1688.com,Indonesia,163.32.175.49,FALSE,0
263,William,Holmes,wholmes7a@moonfruit.com,Russia,70.205.91.189,TRUE,0
264,Raymond,Flores,rflores7b@wikimedia.org,Poland,98.134.75.209,TRUE,0
265,Bobby,Rogers,brogers7c@umn.edu,Vietnam,212.251.87.179,FALSE,0
266,James,Bell,jbell7d@buzzfeed.com,Argentina,20.4.179.201,TRUE,0
267,Judy,Andrews,jandrews7e@archive.org,China,201.177.210.237,FALSE,0
268,Virginia,Moreno,vmoreno7f@uol.com.br,Brazil,209.233.129.68,TRUE,0
269,Wanda,Woods,wwoods7g@chronoengine.com,Russia,235.2.163.52,TRUE,0
270,Harry,Tucker,htucker7h@soup.io,Indonesia,27.7.212.139,FALSE,0
271,Steve,Ward,sward7i@a8.net,Indonesia,163.208.248.102,TRUE,0
272,Eugene,Welch,ewelch7j@skyrock.com,Indonesia,138.141.88.182,TRUE,0
273,Lawrence,Evans,levans7k@rambler.ru,Brazil,90.242.20.215,TRUE,0
274,Michelle,Lopez,mlopez7l@goo.gl,France,222.115.178.188,FALSE,0
275,Keith,Sullivan,ksullivan7m@vistaprint.com,Sierra Leone,226.127.240.148,FALSE,0
276,Albert,Rivera,arivera7n@elegantthemes.com,Brazil,248.17.154.247,TRUE,0
277,Willie,Ross,wross7o@ezinearticles.com,China,194.54.90.84,FALSE,0
278,Albert,Cook,acook7p@theglobeandmail.com,Sweden,64.249.161.164,FALSE,0
279,Teresa,Martinez,tmartinez7q@netlog.com,Russia,124.207.125.166,FALSE,0
280,Andrew,Warren,awarren7r@icq.com,Colombia,15.53.76.125,FALSE,0
281,Janice,Hawkins,jhawkins7s@last.fm,China,40.26.72.186,TRUE,0
282,Gary,Howell,ghowell7t@netvibes.com,Guadeloupe,159.74.247.171,TRUE,0
283,Janice,Gardner,jgardner7u@example.com,Ukraine,196.30.114.174,TRUE,0
284,Katherine,Armstrong,karmstrong7v@domainmarket.com,Morocco,210.209.216.194,FALSE,0
285,Clarence,Cook,ccook7w@fda.gov,Bahamas,72.2.125.209,TRUE,0
286,Deborah,Romero,dromero7x@taobao.com,China,147.118.69.83,FALSE,0
287,George,Ferguson,gferguson7y@moonfruit.com,Brazil,220.114.122.252,TRUE,0
288,Sean,Patterson,spatterson7z@icio.us,China,59.124.0.246,FALSE,0
289,Dorothy,Bailey,dbailey80@digg.com,Monaco,238.102.237.78,FALSE,0
290,Anthony,Taylor,ataylor81@yolasite.com,Brazil,144.16.2.79,FALSE,0
291,Christina,Griffin,cgriffin82@nba.com,Japan,70.202.90.48,FALSE,0
292,Richard,Bennett,rbennett83@prweb.com,Trinidad and Tobago,246.127.167.52,FALSE,0
293,Anthony,Arnold,aarnold84@utexas.edu,Ukraine,221.34.91.90,FALSE,0
294,Jimmy,Butler,jbutler85@purevolume.com,Philippines,138.76.171.156,FALSE,0
295,Anthony,James,ajames86@ezinearticles.com,Ethiopia,80.84.147.229,FALSE,0
296,Patricia,Hawkins,phawkins87@independent.co.uk,Russia,32.246.134.51,FALSE,0
297,Marilyn,Dunn,mdunn88@artisteer.com,Philippines,89.216.128.134,FALSE,0
298,Janet,Coleman,jcoleman89@yellowbook.com,Indonesia,15.128.165.75,FALSE,0
299,Ryan,Lee,rlee8a@tumblr.com,Croatia,112.213.130.87,TRUE,0
300,Kathryn,Jones,kjones8b@bizjournals.com,Syria,134.15.60.30,TRUE,0
301,Catherine,White,cwhite8c@dyndns.org,Colombia,184.124.150.95,FALSE,0
302,Lori,Kelley,lkelley8d@purevolume.com,Peru,96.128.254.142,FALSE,0
303,Christina,Anderson,canderson8e@diigo.com,China,191.147.61.66,TRUE,0
304,Adam,Anderson,aanderson8f@mapquest.com,Poland,16.36.32.225,TRUE,0
305,Beverly,King,bking8g@example.com,Ethiopia,63.97.195.88,FALSE,0
306,Lillian,Allen,lallen8h@lulu.com,Russia,250.17.82.163,FALSE,0
307,Shirley,Porter,sporter8i@fc2.com,Vietnam,56.81.163.205,TRUE,0
308,Donald,Alvarez,dalvarez8j@tmall.com,Russia,205.135.188.220,TRUE,0
309,Jane,Jacobs,jjacobs8k@jigsy.com,Indonesia,201.160.48.82,FALSE,0
310,Alice,Sullivan,asullivan8l@discovery.com,Colombia,170.240.133.170,FALSE,0
311,Dorothy,Diaz,ddiaz8m@examiner.com,El Salvador,87.88.221.194,FALSE,0
312,Andrea,Fowler,afowler8n@godaddy.com,Canada,37.57.138.131,FALSE,0
313,Daniel,Richards,drichards8o@cnet.com,Vietnam,146.236.141.246,TRUE,0
314,Laura,Hudson,lhudson8p@dailymotion.com,France,14.198.135.90,TRUE,0
315,John,Miller,jmiller8q@psu.edu,France,244.157.76.212,FALSE,0
